name,model_type,metric_type,metric_value,train_time
1_Default_LightGBM,LightGBM,auc,0.8957686897131395,4.87
2_Default_Xgboost,Xgboost,auc,0.9008797823696244,1.65
3_Default_CatBoost,CatBoost,auc,0.8992327069665377,1.98
4_Default_NeuralNetwork,Neural Network,auc,0.8829909580719277,3.13
5_Default_RandomForest,Random Forest,auc,0.8928004308316411,4.26
6_Default_ExtraTrees,Extra Trees,auc,0.8751972338192773,2.52
16_LightGBM,LightGBM,auc,0.8972622561787348,1.78
7_Xgboost,Xgboost,auc,0.8953433944600889,1.74
25_CatBoost,CatBoost,auc,0.8987822463138981,1.94
34_RandomForest,Random Forest,auc,0.90041799728717,2.44
43_ExtraTrees,Extra Trees,auc,0.8791595259845334,2.61
52_NeuralNetwork,Neural Network,auc,0.5,1.88
17_LightGBM,LightGBM,auc,0.9014145471108863,1.95
8_Xgboost,Xgboost,auc,0.8876578814256701,2.03
26_CatBoost,CatBoost,auc,0.904153800856127,2.25
35_RandomForest,Random Forest,auc,0.8662207357859533,2.37
44_ExtraTrees,Extra Trees,auc,0.8595984608841611,2.48
53_NeuralNetwork,Neural Network,auc,0.8642943244474307,4.01
18_LightGBM,LightGBM,auc,0.900114754222125,2.11
9_Xgboost,Xgboost,auc,0.8954075662290404,2.18
27_CatBoost,CatBoost,auc,0.901408255760989,3.53
36_RandomForest,Random Forest,auc,0.8662207357859532,2.46
45_ExtraTrees,Extra Trees,auc,0.8663641785636094,3.4
54_NeuralNetwork,Neural Network,auc,0.877221790216196,3.2
19_LightGBM,LightGBM,auc,0.895918423840693,2.35
10_Xgboost,Xgboost,auc,0.8981153632247951,2.3
28_CatBoost,CatBoost,auc,0.9018738156533819,2.91
37_RandomForest,Random Forest,auc,0.8926079155247867,3.82
46_ExtraTrees,Extra Trees,auc,0.8712739480233836,3.18
55_NeuralNetwork,Neural Network,auc,0.8702987887893178,3.08
20_LightGBM,LightGBM,auc,0.8940121448218415,2.52
11_Xgboost,Xgboost,auc,0.8830903614003035,2.46
29_CatBoost,CatBoost,auc,0.9006205787538597,3.7
38_RandomForest,Random Forest,auc,0.8859051113443105,4.63
47_ExtraTrees,Extra Trees,auc,0.8673242385579218,3.31
56_NeuralNetwork,Neural Network,auc,0.8737539981528597,3.22
21_LightGBM,LightGBM,auc,0.9001021715223305,2.55
12_Xgboost,Xgboost,auc,0.9020650726902567,2.61
30_CatBoost,CatBoost,auc,0.8971892765199273,3.22
39_RandomForest,Random Forest,auc,0.8964859036014203,3.77
48_ExtraTrees,Extra Trees,auc,0.8801032284691133,2.93
57_NeuralNetwork,Neural Network,auc,0.8863517971870116,3.99
22_LightGBM,LightGBM,auc,0.9011440190653066,2.43
13_Xgboost,Xgboost,auc,0.8916604382302683,2.46
31_CatBoost,CatBoost,auc,0.8980574828057408,2.86
40_RandomForest,Random Forest,auc,0.9000065430038932,3.21
49_ExtraTrees,Extra Trees,auc,0.8752676969381258,3.77
58_NeuralNetwork,Neural Network,auc,0.8790638974660958,3.44
23_LightGBM,LightGBM,auc,0.8941379718197855,2.61
14_Xgboost,Xgboost,auc,0.8928532781707774,2.58
32_CatBoost,CatBoost,auc,0.9058323330086998,3.14
41_RandomForest,Random Forest,auc,0.8817263967425907,3.07
50_ExtraTrees,Extra Trees,auc,0.8713569938420268,3.97
59_NeuralNetwork,Neural Network,auc,0.8677256266813633,3.12
24_LightGBM,LightGBM,auc,0.8952867723110142,2.53
15_Xgboost,Xgboost,auc,0.8949042582372645,2.59
33_CatBoost,CatBoost,auc,0.9054535937448882,3.92
42_RandomForest,Random Forest,auc,0.8933792350221833,4.47
51_ExtraTrees,Extra Trees,auc,0.867825030009739,3.28
60_NeuralNetwork,Neural Network,auc,0.8638702874643596,3.6
12_Xgboost_categorical_mix,Xgboost,auc,0.8982210579030678,2.94
32_CatBoost_GoldenFeatures,CatBoost,auc,0.9034151963781957,9.31
33_CatBoost_GoldenFeatures,CatBoost,auc,0.904268303424256,3.99
26_CatBoost_GoldenFeatures,CatBoost,auc,0.901705207476137,3.31
32_CatBoost_KMeansFeatures,CatBoost,auc,0.9054020046757312,4.1
33_CatBoost_KMeansFeatures,CatBoost,auc,0.9034353286978668,3.61
